	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Mob22	5.67E-05	0.674048257	0.289	0.213	1	SMC	Mob2
Pdzrn32	5.80E-05	0.500643741	0.464	0.349	1	SMC	Pdzrn3
Hipk12	5.91E-05	0.517741328	0.35	0.271	1	SMC	Hipk1
Agtpbp1	6.22E-05	0.587198273	0.346	0.272	1	SMC	Agtpbp1
Cbx62	6.44E-05	0.271032106	0.133	0.07	1	SMC	Cbx6
Yap13	6.60E-05	0.636733919	0.308	0.235	1	SMC	Yap1
Hoxc41	6.76E-05	0.601235195	0.171	0.104	1	SMC	Hoxc4
Pde4dip1	7.16E-05	0.866251659	0.236	0.165	1	SMC	Pde4dip
Olfr10331	7.22E-05	0.689520882	0.205	0.131	1	SMC	Olfr1033
Synpo3	7.38E-05	0.262361914	0.106	0.052	1	SMC	Synpo
Map3k53	7.88E-05	0.450253871	0.517	0.43	1	SMC	Map3k5
4931406P16Rik3	8.10E-05	0.385682371	0.418	0.326	1	SMC	4931406P16Rik
Vps37b2	8.54E-05	0.546428595	0.125	0.068	1	SMC	Vps37b
Myl12a1	9.05E-05	0.39978488	0.141	0.08	1	SMC	Myl12a
Pkp43	9.38E-05	0.354149966	0.278	0.19	1	SMC	Pkp4
Arhgap442	0.000106738	0.343436267	0.171	0.1	1	SMC	Arhgap44
Sh3bgrl4	0.000108526	0.650282989	0.426	0.362	1	SMC	Sh3bgrl
Hoxc61	0.000117969	0.524631636	0.19	0.121	1	SMC	Hoxc6
Acss14	0.000121492	0.395749614	0.141	0.078	1	SMC	Acss1
Selenof	0.000124617	0.472060133	0.125	0.071	1	SMC	Selenof
Cavin3	0.000142379	0.308347958	0.106	0.055	1	SMC	Cavin3
Tuba1a1	0.000142464	0.503051906	0.114	0.061	1	SMC	Tuba1a
Sdc21	0.000143635	0.380294136	0.308	0.22	1	SMC	Sdc2
Luzp12	0.000151021	0.664966668	0.411	0.346	1	SMC	Luzp1
Impad1	0.000157616	0.509972477	0.129	0.073	1	SMC	Impad1
Picalm4	0.000165825	0.359745678	0.608	0.579	1	SMC	Picalm
Selenow	0.000170559	0.575871318	0.183	0.119	1	SMC	Selenow
Ralgapa13	0.000173288	0.461395842	0.551	0.527	1	SMC	Ralgapa1
Atp9a2	0.000178822	0.594038782	0.281	0.209	1	SMC	Atp9a
Pparg2	0.00018329	0.252974336	0.468	0.355	1	SMC	Pparg
Nbl11	0.000189242	0.409477338	0.103	0.053	1	SMC	Nbl1
Nbea4	0.000189856	0.421003161	0.46	0.387	1	SMC	Nbea
Sdhc	0.00020793	0.591104013	0.175	0.113	1	SMC	Sdhc
Prdm111	0.000229667	0.318378537	0.103	0.053	1	SMC	Prdm11
Marcks4	0.000240917	0.347350408	0.255	0.175	1	SMC	Marcks
Dip2c2	0.000242941	0.324760581	0.677	0.671	1	SMC	Dip2c
Mgat4a2	0.000262962	0.476394235	0.148	0.089	1	SMC	Mgat4a
Clstn13	0.000267959	0.474113686	0.171	0.107	1	SMC	Clstn1
Mb21d21	0.000287355	0.412969855	0.141	0.083	1	SMC	Mb21d2
Ccdc82	0.000305883	0.548543888	0.289	0.217	1	SMC	Ccdc82
Cd92	0.000315634	0.250990654	0.152	0.089	1	SMC	Cd9
Fosl2	0.000386943	0.526371575	0.183	0.12	1	SMC	Fosl2
Rap1a3	0.000391833	0.665971297	0.471	0.452	1	SMC	Rap1a
Pde4a	0.000404932	0.496194816	0.133	0.079	1	SMC	Pde4a
Klf91	0.000428737	0.48251779	0.369	0.292	1	SMC	Klf9
Bace1	0.00044365	0.521854368	0.152	0.096	1	SMC	Bace1
Nt5c21	0.000451647	0.50221901	0.422	0.369	1	SMC	Nt5c2
Tmem2191	0.000455507	0.578345608	0.186	0.123	1	SMC	Tmem219
Chd4	0.000520691	0.414317952	0.456	0.405	1	SMC	Chd4
Ttc234	0.000528865	0.522133507	0.236	0.172	1	SMC	Ttc23
Pkd12	0.000545871	0.464466951	0.338	0.272	1	SMC	Pkd1
Esyt12	0.000563046	0.512507337	0.186	0.128	1	SMC	Esyt1
Lclat11	0.000563905	0.547622797	0.24	0.174	1	SMC	Lclat1
Htra13	0.000606293	0.51190518	0.202	0.139	1	SMC	Htra1
Tfpi1	0.000616643	0.416568381	0.122	0.071	1	SMC	Tfpi
Dnajc31	0.000616902	0.540690638	0.293	0.23	1	SMC	Dnajc3
Hoxc51	0.000626769	0.363850972	0.163	0.105	1	SMC	Hoxc5
Csnk1a11	0.000632107	0.42604794	0.551	0.52	1	SMC	Csnk1a1
Ptprg4	0.000652581	0.391696106	0.559	0.473	1	SMC	Ptprg
Slco3a13	0.000656043	0.406293998	0.316	0.236	1	SMC	Slco3a1
Sipa1l23	0.000659312	0.543307631	0.19	0.129	1	SMC	Sipa1l2
Mlec1	0.000841774	0.394930313	0.11	0.064	1	SMC	Mlec
Chd62	0.000913942	0.416208245	0.498	0.461	1	SMC	Chd6
Abi21	0.000937224	0.474914067	0.228	0.162	1	SMC	Abi2
Parp85	0.000949731	0.43440326	0.361	0.285	1	SMC	Parp8
Syde11	0.00095442	0.365548821	0.11	0.063	1	SMC	Syde1
Mapre22	0.000965837	0.532781411	0.35	0.289	1	SMC	Mapre2
Meis21	0.00096716	0.401502264	0.437	0.351	1	SMC	Meis2
Smurf12	0.001060137	0.482768244	0.399	0.341	1	SMC	Smurf1
Fkbp91	0.001078604	0.438729981	0.213	0.152	1	SMC	Fkbp9
Tnfrsf1a	0.001138153	0.415990509	0.114	0.067	1	SMC	Tnfrsf1a
A430105I19Rik1	0.001143419	0.410364461	0.106	0.062	1	SMC	A430105I19Rik
Abhd17b1	0.001266559	0.513140372	0.346	0.29	1	SMC	Abhd17b
Zcchc143	0.0012977	0.440153476	0.262	0.2	1	SMC	Zcchc14
Col5a21	0.001316469	0.278991806	0.475	0.382	1	SMC	Col5a2
Pcolce1	0.001413705	0.283275715	0.129	0.077	1	SMC	Pcolce
Foxp21	0.001524816	0.463703542	0.103	0.058	1	SMC	Foxp2
Sox133	0.001733999	0.254215732	0.122	0.073	1	SMC	Sox13
Gm152611	0.001826643	0.275494778	0.338	0.25	1	SMC	Gm15261
Ctps2	0.001829435	0.356463037	0.122	0.074	1	SMC	Ctps
Adamts93	0.001844552	0.617159192	0.217	0.159	1	SMC	Adamts9
Il1r11	0.00210281	0.456666139	0.327	0.267	1	SMC	Il1r1
Fam69a3	0.002314716	0.332455634	0.278	0.215	1	SMC	Fam69a
Prkaa23	0.002436328	0.406038904	0.171	0.118	1	SMC	Prkaa2
Ahdc12	0.002564339	0.511938411	0.27	0.215	1	SMC	Ahdc1
Hsp90b12	0.00261277	0.307079463	0.179	0.121	1	SMC	Hsp90b1
Eng1	0.002878447	0.290038124	0.11	0.066	1	SMC	Eng
Stxbp12	0.003244912	0.394122377	0.148	0.098	1	SMC	Stxbp1
Gm106871	0.003367741	0.359334013	0.114	0.072	1	SMC	Gm10687
Wwtr13	0.003369558	0.340883804	0.426	0.358	1	SMC	Wwtr1
Prex22	0.003375713	0.459826021	0.194	0.139	1	SMC	Prex2
Med14	0.003527672	0.556932214	0.259	0.205	1	SMC	Med14
Ldlrad32	0.003596888	0.603683138	0.266	0.214	1	SMC	Ldlrad3
Pkig3	0.00376107	0.384657347	0.228	0.171	1	SMC	Pkig
Id32	0.003802761	0.431457069	0.125	0.082	1	SMC	Id3
Gabbr12	0.004130534	0.266416393	0.106	0.064	1	SMC	Gabbr1
Tm9sf33	0.004348871	0.445724151	0.262	0.211	1	SMC	Tm9sf3
Enpep1	0.004424767	0.371119301	0.141	0.093	1	SMC	Enpep
